state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_level
Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Two-Door Car,Medsize,3
Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,3
Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,3
California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,Offer1,Call Center,SUV,Medsize,2
Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1
Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer2,Web,Two-Door Car,Medsize,3
Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,3
Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,3
Oregon,Yes,Basic,Bachelor,Unemployed,M,Suburban,Divorced,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,3
Oregon,No,Extended,College,Employed,F,Urban,Married,Special Auto,Offer2,Branch,Four-Door Car,Medsize,2
California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small,3
California,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer2,Agent,SUV,Medsize,3
California,No,Premium,Master,Employed,M,Urban,Married,Corporate Auto,Offer2,Agent,Four-Door Car,Medsize,1
Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer2,Branch,SUV,Medsize,3
California,No,Basic,College,Employed,M,Urban,Single,Corporate Auto,Offer4,Call Center,Four-Door Car,Medsize,3
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer2,Branch,Four-Door Car,Medsize,2
Nevada,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize,3
